Date,P1,P2,P3,P4,P5,P6,U1,U2,U3,U4,U5,U6
"06/20/2022, 12:37:33",963,863,967,1003,975,974,22,15,26,29,1,10
"06/20/2022, 12:37:43",964,863,968,1004,974,973,4,26,21,18,1,3
"06/20/2022, 12:37:53",964,866,970,1006,974,975,6,17,18,7,4,8
"06/20/2022, 12:38:03",962,865,969,1006,974,971,12,6,24,20,10,1
"06/20/2022, 12:38:13",966,868,970,1004,974,973,27,23,30,19,7,5
"06/20/2022, 12:38:23",965,866,969,1004,974,973,20,30,14,1,6,10
"06/20/2022, 12:38:33",963,860,969,1003,976,973,0,23,1,2,1,7
"06/20/2022, 12:38:43",963,860,969,1003,975,973,0,24,0,0,1,2
"06/20/2022, 12:38:53",963,860,968,1004,975,973,1,24,2,2,1,2
"06/20/2022, 12:39:03",964,859,969,1003,975,973,0,15,1,2,0,3
"06/20/2022, 12:39:13",965,856,978,1006,973,969,3,30,3,1,3,9
"06/20/2022, 12:39:23",966,857,977,1006,974,969,0,19,2,0,2,2
"06/20/2022, 12:39:33",965,857,977,1006,974,969,2,11,1,1,1,8
"06/20/2022, 12:39:43",965,857,977,1006,974,969,2,30,0,2,1,2
"06/20/2022, 12:39:53",966,856,977,1006,973,969,0,22,0,0,0,5
"06/20/2022, 12:40:03",965,856,977,1006,973,969,2,0,0,2,3,6
"06/20/2022, 12:40:13",967,857,978,1006,973,969,1,2,1,3,1,6
"06/20/2022, 12:40:23",966,849,982,1006,972,969,2,2,2,2,1,8
"06/20/2022, 12:40:33",966,849,982,1006,972,969,3,1,3,3,0,5
"06/20/2022, 12:40:43",967,850,981,1006,974,969,1,0,3,2,0,6
"06/20/2022, 12:40:53",968,856,982,1006,974,969,0,2,0,2,1,10
"06/20/2022, 12:41:03",966,855,981,1006,974,969,1,3,2,3,1,9
"06/20/2022, 12:41:13",966,854,982,1007,974,971,3,1,3,3,2,8
"06/20/2022, 12:41:23",967,853,982,1006,974,970,1,1,3,3,1,7
"06/20/2022, 12:41:33",969,848,972,998,968,960,1,3,2,3,1,5
"06/20/2022, 12:41:43",969,848,974,998,970,962,3,1,2,0,0,3
"06/20/2022, 12:41:53",968,848,975,998,970,962,3,0,1,3,0,8
"06/20/2022, 12:42:03",970,851,975,999,971,962,1,0,3,3,2,5
"06/20/2022, 12:42:13",969,855,974,999,969,963,2,2,3,2,0,5
"06/20/2022, 12:42:23",968,858,985,1007,971,968,0,2,2,2,3,0
"06/20/2022, 12:42:33",966,852,983,1007,972,968,1,2,3,0,2,6
"06/20/2022, 12:42:43",967,853,983,1005,973,969,0,1,0,0,3,10
"06/20/2022, 12:42:53",966,852,983,1005,974,969,27,25,15,23,6,7
"06/20/2022, 12:43:03",966,853,982,1005,974,969,22,12,9,15,9,2
"06/20/2022, 12:43:13",966,853,983,1005,974,969,23,8,1,22,2,6
"06/20/2022, 12:43:23",966,853,983,1006,974,969,23,12,20,8,9,10
"06/20/2022, 12:43:33",966,852,983,1005,974,970,9,5,14,7,0,0
"06/20/2022, 12:43:43",966,852,983,1006,974,969,3,1,0,2,2,0
"06/20/2022, 12:43:53",966,851,983,1006,974,970,3,1,3,3,0,6
"06/20/2022, 12:44:03",964,837,973,1002,977,973,2,2,0,0,3,0
"06/20/2022, 12:44:13",964,837,973,1002,977,973,0,3,1,3,2,10
"06/20/2022, 12:44:23",969,842,973,997,969,963,1,3,0,3,0,9
"06/20/2022, 12:44:33",969,851,972,1000,969,965,22,24,19,23,8,0
"06/20/2022, 12:44:43",969,849,972,998,969,964,0,29,26,1,2,6
"06/20/2022, 12:44:53",969,849,973,999,970,964,18,18,20,24,3,8
"06/20/2022, 12:45:03",966,856,982,1007,965,963,20,28,28,8,6,2
"06/20/2022, 12:45:13",968,857,982,1007,966,964,10,8,25,8,7,5
"06/20/2022, 12:45:23",968,856,983,1007,967,964,28,19,14,16,6,8
"06/20/2022, 12:45:33",961,836,965,1002,970,965,0,3,3,1,1,7
"06/20/2022, 12:45:43",961,836,966,1002,971,965,1,1,0,2,0,4
"06/20/2022, 12:45:53",961,837,966,1002,972,966,8,4,14,4,4,10
"06/20/2022, 12:46:03",955,839,976,1007,973,970,0,2,13,6,2,0
"06/20/2022, 12:46:13",969,846,983,1006,966,961,10,7,30,27,6,10
"06/20/2022, 12:46:23",954,847,987,1006,973,946,16,8,7,10,5,9
"06/20/2022, 12:46:33",965,854,985,1005,970,951,0,8,25,1,3,1
"06/20/2022, 12:46:43",966,857,986,1005,969,952,3,4,21,3,0,0
"06/20/2022, 12:46:53",965,855,985,1006,970,954,2,7,2,3,2,6
"06/20/2022, 12:47:03",969,860,987,1006,970,954,0,14,7,2,0,4
"06/20/2022, 12:47:13",968,860,986,1006,970,955,3,14,9,2,3,9
"06/20/2022, 12:47:23",968,859,986,1006,970,954,2,0,20,1,3,0
"06/20/2022, 12:47:33",963,855,967,1004,970,968,2,20,29,2,3,9
"06/20/2022, 12:47:43",962,858,966,1004,970,969,3,9,13,2,1,0
"06/20/2022, 12:47:53",963,855,967,1003,970,968,0,22,6,1,1,10
"06/20/2022, 12:48:03",962,853,966,1004,970,969,2,1,2,2,2,2
"06/20/2022, 12:48:13",966,860,969,1004,970,969,2,1,1,0,2,2
"06/20/2022, 12:48:23",971,863,975,1005,973,969,3,2,3,0,1,5
"06/20/2022, 12:48:33",964,867,966,1007,966,973,3,1,0,0,0,1
